test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,0,0.334254,0.000353,946.8951,0,0,0
1,0,0.321524,0.000336,956.9166,0,0,0
1,0,0.322033,0.000336,958.4315,0,0,0
1,0,0.322163,0.000336,958.8184,0,0,0
1,0,0.322248,0.000336,959.0714,0,0,0
1,0,0.322313,0.000336,959.2648,0,0,0
1,0,0.322436,0.000336,959.6309,0,0,0
1,0,0.322691,0.000336,960.3898,0,0,0
1,0,0.332515,0.000343,969.4314,0,0,0
1,0,0.325811,0.000336,969.6755,0,0,0
1,0,0.334765,0.000344,973.1540,0,0,0
1,0,0.327752,0.000336,975.4523,0,0,0
1,0,0.329263,0.000336,979.9494,0,0,0
1,0,0.331288,0.000336,985.9761,0,0,0
1,0,0.330311,0.000335,986.0029,0,0,0
1,0,0.331957,0.000336,987.9672,0,0,0
1,0,0.332550,0.000336,989.7321,0,0,0
1,0,0.332670,0.000336,990.0892,0,0,0
1,0,0.331887,0.000335,990.7074,0,0,0
1,0,0.332913,0.000336,990.8125,0,0,0
1,0,0.333062,0.000336,991.2559,0,0,0
1,0,0.333123,0.000336,991.4375,0,0,0
1,0,0.333232,0.000336,991.7619,0,0,0
1,0,0.334455,0.000337,992.4480,0,0,0
1,0,0.333955,0.000336,993.9136,0,0,0
1,0,0.333145,0.000335,994.4626,0,0,0
1,0,0.334256,0.000336,994.8095,0,0,0
1,0,0.333288,0.000335,994.8895,0,0,0
1,0,0.334321,0.000336,995.0029,0,0,0
1,0,0.333415,0.000335,995.2686,0,0,0
1,0,0.334603,0.000336,995.8422,0,0,0
1,0,0.333860,0.000335,996.5970,0,0,0
1,0,0.335146,0.000336,997.4583,0,0,0
1,0,0.334392,0.000335,998.1850,0,0,0
1,0,0.335632,0.000336,998.9047,0,0,0
1,0,0.335771,0.000336,999.3184,0,0,0
1,0,0.336152,0.000336,1000.4523,0,0,0
1,0,0.336728,0.000336,1002.1666,0,0,0
1,0,0.336774,0.000336,1002.3035,0,0,0
1,0,0.338522,0.000336,1007.5059,0,0,0
1,0,0.338832,0.000336,1008.4285,0,0,0
1,0,0.340897,0.000336,1014.5744,0,0,0
1,0,0.340928,0.000336,1014.6666,0,0,0
1,0,0.341533,0.000336,1016.4672,0,0,0
1,0,0.342229,0.000336,1018.5386,0,0,0
1,0,0.342976,0.000336,1020.7619,0,0,0
1,0,0.344476,0.000336,1025.2261,0,0,0
1,0,0.344021,0.000335,1026.9283,0,0,0
1,0,0.345072,0.000336,1027.0000,0,0,0
1,0,0.345471,0.000336,1028.1875,0,0,0
2,0,0.724048,0.000718,1008.4233,0,0,0
2,0,0.725405,0.000718,1010.3133,0,0,0
2,0,0.725427,0.000718,1010.3440,0,0,0
2,0,0.724770,0.000717,1010.8368,0,0,0
2,0,0.725395,0.000717,1011.7085,0,0,0
2,0,0.727695,0.000718,1013.5027,0,0,0
2,0,0.725863,0.000716,1013.7751,0,0,0
2,0,0.730167,0.000717,1018.3640,0,0,0
2,0,0.732218,0.000718,1019.8022,0,0,0
2,0,0.731875,0.000717,1020.7461,0,0,0
2,0,0.732314,0.000717,1021.3584,0,0,0
2,0,0.748478,0.000725,1032.3834,0,0,0
2,0,0.742326,0.000718,1033.8802,0,0,0
2,0,0.741471,0.000717,1034.1297,0,0,0
2,0,0.742213,0.000717,1035.1645,0,0,0
2,0,0.743372,0.000717,1036.7810,0,0,0
2,0,0.744051,0.000717,1037.7280,0,0,0
2,0,0.745366,0.000718,1038.1142,0,0,0
2,0,0.745391,0.000718,1038.1490,0,0,0
2,0,0.746153,0.000718,1039.2103,0,0,0
2,0,0.745697,0.000717,1040.0237,0,0,0
2,0,0.747675,0.000718,1041.3300,0,0,0
2,0,0.747142,0.000717,1042.0390,0,0,0
2,0,0.749368,0.000718,1043.6880,0,0,0
2,0,0.749403,0.000718,1043.7367,0,0,0
2,0,0.749965,0.000718,1044.5194,0,0,0
2,0,0.751181,0.000719,1044.7579,0,0,0
2,0,0.749122,0.000717,1044.8005,0,0,0
2,0,0.750456,0.000718,1045.2033,0,0,0
2,0,0.750836,0.000718,1045.7325,0,0,0
2,0,0.750880,0.000718,1045.7938,0,0,0
2,0,0.751012,0.000718,1045.9777,0,0,0
2,0,0.749985,0.000717,1046.0041,0,0,0
2,0,0.749987,0.000717,1046.0069,0,0,0
2,0,0.750417,0.000717,1046.6066,0,0,0
2,0,0.750464,0.000717,1046.6722,0,0,0
2,0,0.750977,0.000717,1047.3877,0,0,0
2,0,0.751039,0.000717,1047.4741,0,0,0
2,0,0.752532,0.000718,1048.0947,0,0,0
2,0,0.751844,0.000717,1048.5969,0,0,0
2,0,0.752015,0.000717,1048.8354,0,0,0
2,0,0.752306,0.000716,1050.7067,0,0,0
2,0,0.752834,0.000716,1051.4441,0,0,0
2,0,0.758535,0.000718,1056.4554,0,0,0
2,0,0.760649,0.000717,1060.8772,0,0,0
2,0,0.762442,0.000718,1061.8969,0,0,0
2,0,0.770407,0.000724,1064.0980,0,0,0
2,0,0.764757,0.000717,1066.6066,0,0,0
2,0,0.763951,0.000716,1066.9706,0,0,0
2,0,0.768087,0.000718,1069.7590,0,0,0
3,0,2.897125,0.002792,1037.6522,0,0,0
3,0,2.898264,0.002791,1038.4321,0,0,0
3,0,2.897354,0.002790,1038.4781,0,0,0
3,0,2.901363,0.002793,1038.7980,0,0,0
3,0,2.902239,0.002793,1039.1117,0,0,0
3,0,2.906556,0.002793,1040.6573,0,0,0
3,0,2.905378,0.002791,1040.9810,0,0,0
3,0,2.913916,0.002791,1044.0401,0,0,0
3,0,2.933703,0.002796,1049.2500,0,0,0
3,0,2.929638,0.002791,1049.6732,0,0,0
3,0,2.933855,0.002790,1051.5609,0,0,0
3,0,2.951031,0.002791,1057.3382,0,0,0
3,0,2.959581,0.002790,1060.7817,0,0,0
3,0,2.964528,0.002793,1061.4135,0,0,0
3,0,2.971337,0.002792,1064.2324,0,0,0
3,0,2.970532,0.002790,1064.7068,0,0,0
3,0,2.977440,0.002794,1065.6549,0,0,0
3,0,2.977034,0.002790,1067.0372,0,0,0
3,0,2.979384,0.002791,1067.4969,0,0,0
3,0,2.982553,0.002792,1068.2496,0,0,0
3,0,2.982514,0.002791,1068.6184,0,0,0
3,0,2.983026,0.002791,1068.8018,0,0,0
3,0,2.987154,0.002791,1070.2809,0,0,0
3,0,2.989400,0.002791,1071.0856,0,0,0
3,0,2.989982,0.002791,1071.2941,0,0,0
3,0,2.992665,0.002790,1072.6397,0,0,0
3,0,2.994272,0.002791,1072.8312,0,0,0
3,0,2.994341,0.002789,1073.6253,0,0,0
3,0,2.996746,0.002790,1074.1025,0,0,0
3,0,2.996877,0.002790,1074.1494,0,0,0
3,0,3.001767,0.002794,1074.3618,0,0,0
3,0,3.000467,0.002791,1075.0508,0,0,0
3,0,2.999511,0.002790,1075.0935,0,0,0
3,0,3.002004,0.002791,1075.6015,0,0,0
3,0,3.002306,0.002791,1075.7097,0,0,0
3,0,3.005090,0.002791,1076.7072,0,0,0
3,0,3.006727,0.002792,1076.9079,0,0,0
3,0,3.005196,0.002790,1077.1311,0,0,0
3,0,3.006699,0.002791,1077.2837,0,0,0
3,0,3.005900,0.002790,1077.3835,0,0,0
3,0,3.007154,0.002791,1077.4467,0,0,0
3,0,3.010200,0.002792,1078.1518,0,0,0
3,0,3.008932,0.002790,1078.4702,0,0,0
3,0,3.010007,0.002789,1079.2423,0,0,0
3,0,3.015347,0.002792,1079.9953,0,0,0
3,0,3.013436,0.002790,1080.0845,0,0,0
3,0,3.022590,0.002790,1083.3655,0,0,0
3,0,3.030529,0.002790,1086.2111,0,0,0
3,0,3.034608,0.002792,1086.8939,0,0,0
3,0,3.055105,0.002789,1095.4123,0,0,0
4,0,2.897887,0.002790,1038.6691,0,0,0
4,0,2.900179,0.002791,1039.1182,0,0,0
4,0,2.901590,0.002791,1039.6237,0,0,0
4,0,2.901183,0.002790,1039.8505,0,0,0
4,0,2.901315,0.002789,1040.2707,0,0,0
4,0,2.907192,0.002791,1041.6309,0,0,0
4,0,2.916726,0.002791,1045.0469,0,0,0
4,0,2.931097,0.002791,1050.1959,0,0,0
4,0,2.933167,0.002790,1051.3143,0,0,0
4,0,2.941161,0.002792,1053.4244,0,0,0
4,0,2.943940,0.002791,1054.7975,0,0,0
4,0,2.949538,0.002791,1056.8032,0,0,0
4,0,2.948840,0.002790,1056.9318,0,0,0
4,0,2.955870,0.002790,1059.4516,0,0,0
4,0,2.979440,0.002791,1067.5170,0,0,0
4,0,2.982458,0.002790,1068.9813,0,0,0
4,0,2.985395,0.002791,1069.6506,0,0,0
4,0,2.985946,0.002791,1069.8480,0,0,0
4,0,2.987498,0.002792,1070.0207,0,0,0
4,0,2.986670,0.002790,1070.4910,0,0,0
4,0,2.988041,0.002791,1070.5987,0,0,0
4,0,2.994128,0.002791,1072.7796,0,0,0
4,0,2.994222,0.002790,1073.1978,0,0,0
4,0,2.996140,0.002791,1073.5005,0,0,0
4,0,2.997419,0.002791,1073.9587,0,0,0
4,0,2.997199,0.002790,1074.2648,0,0,0
4,0,2.997699,0.002790,1074.4440,0,0,0
4,0,3.000720,0.002792,1074.7564,0,0,0
4,0,3.003482,0.002793,1075.3605,0,0,0
4,0,3.000269,0.002790,1075.3652,0,0,0
4,0,3.002733,0.002792,1075.4774,0,0,0
4,0,3.002342,0.002791,1075.7226,0,0,0
4,0,3.002365,0.002791,1075.7309,0,0,0
4,0,3.005718,0.002792,1076.5465,0,0,0
4,0,3.004702,0.002791,1076.5682,0,0,0
4,0,3.005230,0.002791,1076.7574,0,0,0
4,0,3.008792,0.002790,1078.4200,0,0,0
4,0,3.012746,0.002792,1079.0637,0,0,0
4,0,3.015761,0.002791,1080.5306,0,0,0
4,0,3.019445,0.002791,1081.8505,0,0,0
4,0,3.019154,0.002790,1082.1340,0,0,0
4,0,3.019026,0.002789,1082.4761,0,0,0
4,0,3.021796,0.002791,1082.6929,0,0,0
4,0,3.025711,0.002791,1084.0956,0,0,0
4,0,3.037554,0.002793,1087.5596,0,0,0
4,0,3.038083,0.002790,1088.9186,0,0,0
4,0,3.062855,0.002791,1097.4041,0,0,0
4,0,3.064542,0.002790,1098.4021,0,0,0
4,0,3.100223,0.002793,1109.9974,0,0,0
4,0,3.140293,0.002785,1127.5737,0,0,0
5,0,10.016935,0.009594,1044.0832,0,0,0
5,0,10.021614,0.009592,1044.7887,0,0,0
5,0,10.020182,0.009590,1044.8573,0,0,0
5,0,10.056918,0.009593,1048.3600,0,0,0
5,0,10.064785,0.009590,1049.5083,0,0,0
5,0,10.150636,0.009589,1058.5708,0,0,0
5,0,10.157609,0.009590,1059.1875,0,0,0
5,0,10.180176,0.009593,1061.2087,0,0,0
5,0,10.186599,0.009590,1062.2105,0,0,0
5,0,10.207773,0.009591,1064.3074,0,0,0
5,0,10.222914,0.009591,1065.8861,0,0,0
5,0,10.229446,0.009590,1066.6784,0,0,0
5,0,10.241187,0.009591,1067.7913,0,0,0
5,0,10.279057,0.009591,1071.7398,0,0,0
5,0,10.282845,0.009592,1072.0230,0,0,0
5,0,10.288534,0.009592,1072.6161,0,0,0
5,0,10.300536,0.009595,1073.5316,0,0,0
5,0,10.304210,0.009591,1074.3624,0,0,0
5,0,10.305437,0.009591,1074.4903,0,0,0
5,0,10.305696,0.009591,1074.5173,0,0,0
5,0,10.308717,0.009591,1074.8323,0,0,0
5,0,10.341228,0.009595,1077.7725,0,0,0
5,0,10.341040,0.009592,1078.0900,0,0,0
5,0,10.340601,0.009591,1078.1567,0,0,0
5,0,10.347049,0.009591,1078.8290,0,0,0
5,0,10.355650,0.009594,1079.3881,0,0,0
5,0,10.355277,0.009593,1079.4617,0,0,0
5,0,10.353281,0.009591,1079.4787,0,0,0
5,0,10.360166,0.009591,1080.1966,0,0,0
5,0,10.363018,0.009592,1080.3813,0,0,0
5,0,10.367127,0.009594,1080.5844,0,0,0
5,0,10.365386,0.009591,1080.7409,0,0,0
5,0,10.368323,0.009592,1080.9344,0,0,0
5,0,10.373599,0.009594,1081.2590,0,0,0
5,0,10.372738,0.009591,1081.5074,0,0,0
5,0,10.378171,0.009593,1081.8483,0,0,0
5,0,10.377347,0.009592,1081.8752,0,0,0
5,0,10.380240,0.009593,1082.0640,0,0,0
5,0,10.381476,0.009593,1082.1928,0,0,0
5,0,10.380576,0.009592,1082.2118,0,0,0
5,0,10.382631,0.009590,1082.6518,0,0,0
5,0,10.386892,0.009592,1082.8703,0,0,0
5,0,10.388570,0.009593,1082.9323,0,0,0
5,0,10.389920,0.009591,1083.2989,0,0,0
5,0,10.390874,0.009591,1083.3983,0,0,0
5,0,10.405986,0.009593,1084.7478,0,0,0
5,0,10.407317,0.009590,1085.2259,0,0,0
5,0,10.444183,0.009593,1088.7295,0,0,0
5,0,10.547327,0.009590,1099.8255,0,0,0
5,0,10.551701,0.009593,1099.9375,0,0,0
